Incorrect Word,Correct Word,Error Type
effarig,giraffe,Reversal
retupmoc,computer,Reversal
senohpdaeh,headphones,Reversal
eparg,grape,Reversal
yrrebwarts,strawberry,Reversal
niugnep,penguin,Reversal
esuom,mouse,Reversal
tnahpele,elephant,Reversal
yrrehc,cherry,Reversal
rotinom,monitor,Reversal
draobyek,keyboard,Reversal
supotco,octopus,Reversal
hateehc,cheetah,Reversal
elppa,apple,Reversal
ananab,banana,Reversal
nihplod,dolphin,Reversal
retnirp,printer,Reversal
yrrebeulb,blueberry,Reversal
egnaro,orange,Reversal
regit,tiger,Reversal
ffarig,giraffe,Reversal
pmocretu,computer,Reversal
seohpdaeh,headphones,Reversal
parge,grape,Reversal
yrrebwstra,strawberry,Reversal
guinpen,penguin,Reversal
moues,mouse,Reversal
elephatn,elephant,Reversal
hcyrre,cherry,Reversal
nimotor,monitor,Reversal
kyeboardr,keyboard,Reversal
otcpus,octopus,Reversal
tahchee,cheetah,Reversal
pplea,apple,Reversal
nabana,banana,Reversal
dlophni,dolphin,Reversal
prnitre,printer,Reversal
eulbyerr,blueberry,Reversal
oragne,orange,Reversal
tigre,tiger,Reversal
rifag,giraffe,Reversal
terupmoc,computer,Reversal
snephodaeh,headphones,Reversal
egarpg,grape,Reversal
ytrawberrs,strawberry,Reversal
nepugin,penguin,Reversal
suome,mouse,Reversal
tnalephe,elephant,Reversal
cyrrhe,cherry,Reversal
ronitom,monitor,Reversal
keydraob,keyboard,Reversal
sucotpo,octopus,Reversal
chateeh,cheetah,Reversal
ppale,apple,Reversal
bananan,banana,Reversal
dnihplo,dolphin,Reversal
prtinre,printer,Reversal
bylueerr,blueberry,Reversal
onrage,orange,Reversal
tgeri,tiger,Reversal
girafef,giraffe,Reversal
comuptre,computer,Reversal
hesdphonea,headphones,Reversal
grpae,grape,Reversal
strawyrreb,strawberry,Reversal
pneguin,penguin,Reversal
moseu,mouse,Reversal
elephnat,elephant,Reversal
chyrre,cherry,Reversal
motnior,monitor,Reversal
kydraobe,keyboard,Reversal
otpcuso,octopus,Reversal
cheathae,cheetah,Reversal
aplep,apple,Reversal
bananab,banana,Reversal
dolphni,dolphin,Reversal
prnrtie,printer,Reversal
blueyrreb,blueberry,Reversal
oragen,orange,Reversal
tigerr,tiger,Reversal
girffae,giraffe,Reversal
cmputero,computer,Reversal
headphoesn,headphones,Reversal
grapee,grape,Reversal
strawbeyrr,strawberry,Reversal
pengiun,penguin,Reversal
muose,mouse,Reversal
elephtan,elephant,Reversal
cherriy,cherry,Reversal
monitro,monitor,Reversal
keyboadr,keyboard,Reversal
octopsu,octopus,Reversal
cheetaah,cheetah,Reversal
applep,apple,Reversal
bananana,banana,Reversal
dolpihn,dolphin,Reversal
printre,printer,Reversal
blueberyr,blueberry,Reversal
orangeg,orange,Reversal
tigert,tiger,Reversal
baanna,banana,Transposition
freind,friend,Transposition
oragne,orange,Transposition
hedaphones,headphones,Transposition
pegnuin,penguin,Transposition
cmoputer,computer,Transposition
itger,tiger,Transposition
chrery,cherry,Transposition
laptpo,laptop,Transposition
kyeboard,keyboard,Transposition
moues,mouse,Transposition
dolpihn,dolphin,Transposition
strwaberry,strawberry,Transposition
banaan,banana,Transposition
alptop,laptop,Transposition
mnoitor,monitor,Transposition
tgier,tiger,Transposition
giafrfe,giraffe,Transposition
cheteah,cheetah,Transposition
aplpe,apple,Transposition
baanan,banana,Transposition
frined,friend,Transposition
organe,orange,Transposition
haedphones,headphones,Transposition
pengiun,penguin,Transposition
copmuter,computer,Transposition
tigre,tiger,Transposition
cherri,cherry,Transposition
latpop,laptop,Transposition
keybaord,keyboard,Transposition
mosue,mouse,Transposition
dolphni,dolphin,Transposition
strawbery,strawberry,Transposition
banan,banana,Transposition
lapotp,laptop,Transposition
moniotr,monitor,Transposition
tige,tiger,Transposition
giraff,giraffe,Transposition
cheetha,cheetah,Transposition
appple,apple,Transposition
abnana,banana,Transposition
firend,friend,Transposition
oargne,orange,Transposition
headpohnes,headphones,Transposition
pneguin,penguin,Transposition
cmputoer,computer,Transposition
tiger,tiger,Transposition
chrerry,cherry,Transposition
laptopp,laptop,Transposition
kyebaord,keyboard,Transposition
museo,mouse,Transposition
dolhpin,dolphin,Transposition
stwarberry,strawberry,Transposition
bnaana,banana,Transposition
lapptop,laptop,Transposition
mointor,monitor,Transposition
tgeir,tiger,Transposition
girfaffe,giraffe,Transposition
chteaah,cheetah,Transposition
aplep,apple,Transposition
baanana,banana,Transposition
frnied,friend,Transposition
oragen,orange,Transposition
haepdhones,headphones,Transposition
peungiun,penguin,Transposition
compuetr,computer,Transposition
tigre,tiger,Transposition
cheryr,cherry,Transposition
latptop,laptop,Transposition
keyboadr,keyboard,Transposition
mouze,mouse,Transposition
doplhin,dolphin,Transposition
strawebrry,strawberry,Transposition
bananna,banana,Transposition
lappotp,laptop,Transposition
monitro,monitor,Transposition
tiger,tiger,Transposition
girafeff,giraffe,Transposition
cheaath,cheetah,Transposition
apppel,apple,Transposition
bannaa,banana,Transposition
frieend,friend,Transposition
orgnae,orange,Transposition
headphnoes,headphones,Transposition
penguni,penguin,Transposition
copumter,computer,Transposition
tigerr,tiger,Transposition
cherrry,cherry,Transposition
lapotop,laptop,Transposition
kyeboadr,keyboard,Transposition
mosuee,mouse,Transposition
dolpihnn,dolphin,Transposition
strawberyr,strawberry,Transposition
banaan,banana,Transposition
laptopp,laptop,Transposition
moniort,monitor,Transposition
tigre,tiger,Transposition
girafffe,giraffe,Transposition
cheetahh,cheetah,Transposition
aplppe,apple,Transposition
strawbrry,strawberry,Omission
headphone,headphones,Omission
computr,computer,Omission
printr,printer,Omission
chery,cherry,Omission
banna,banana,Omission
girafe,giraffe,Omission
keyboad,keyboard,Omission
dophin,dolphin,Omission
monitr,monitor,Omission
penugin,penguin,Omission
aple,apple,Omission
octpus,octopus,Omission
tigr,tiger,Omission
elepant,elephant,Omission
grpe,grape,Omission
bluberry,blueberry,Omission
chetah,cheetah,Omission
lapto,laptop,Omission
mose,mouse,Omission
strawbry,strawberry,Omission
hedphone,headphones,Omission
comptr,computer,Omission
prnter,printer,Omission
chry,cherry,Omission
banan,banana,Omission
giraff,giraffe,Omission
kyboard,keyboard,Omission
dolpin,dolphin,Omission
mnitor,monitor,Omission
pnguin,penguin,Omission
appl,apple,Omission
octops,octopus,Omission
tger,tiger,Omission
elphant,elephant,Omission
grap,grape,Omission
bueberry,blueberry,Omission
chtah,cheetah,Omission
lptop,laptop,Omission
mous,mouse,Omission
strawbrr,strawberry,Omission
headphne,headphones,Omission
cmputer,computer,Omission
prnt,printer,Omission
cher,cherry,Omission
bann,banana,Omission
giraf,giraffe,Omission
keybod,keyboard,Omission
dophn,dolphin,Omission
montr,monitor,Omission
penugn,penguin,Omission
apl,apple,Omission
octps,octopus,Omission
tgr,tiger,Omission
elepnt,elephant,Omission
grp,grape,Omission
blubrry,blueberry,Omission
cht,cheetah,Omission
lapt,laptop,Omission
mos,mouse,Omission
strawbry,strawberry,Omission
hedphne,headphones,Omission
compu,computer,Omission
prin,printer,Omission
chrr,cherry,Omission
ban,banana,Omission
girf,giraffe,Omission
kyboad,keyboard,Omission
dolpn,dolphin,Omission
mntor,monitor,Omission
pengin,penguin,Omission
app,apple,Omission
octpu,octopus,Omission
tige,tiger,Omission
elphnt,elephant,Omission
grap,grape,Omission
bluber,blueberry,Omission
cheta,cheetah,Omission
lptp,laptop,Omission
mou,mouse,Omission
strawbr,strawberry,Omission
headphn,headphones,Omission
cmputr,computer,Omission
print,printer,Omission
cheryy,cherry,Omission
bana,banana,Omission
girafff,giraffe,Omission
keybrd,keyboard,Omission
dolph,dolphin,Omission
monit,monitor,Omission
pengun,penguin,Omission
aple,apple,Omission
octop,octopus,Omission
tigr,tiger,Omission
elephn,elephant,Omission
grape,grape,Omission
bluebrr,blueberry,Omission
chetah,cheetah,Omission
lapto,laptop,Omission
mous,mouse,Omission
oran,orange,Silent Letter
computr,computer,Silent Letter
mous,mouse,Silent Letter
cetah,cheetah,Silent Letter
dolpin,dolphin,Silent Letter
tir,tiger,Silent Letter
yboard,keyboard,Silent Letter
appl,apple,Silent Letter
iraff,giraffe,Silent Letter
pnuin,penguin,Silent Letter
rap,grape,Silent Letter
crry,cherry,Silent Letter
strabrry,strawberry,Silent Letter
adphones,headphones,Silent Letter
lepant,elephant,Silent Letter
octopus,octopus,Silent Letter
laptop,laptop,Silent Letter
monitor,monitor,Silent Letter
banana,banana,Silent Letter
printer,printer,Silent Letter
ornge,orange,Silent Letter
cmputer,computer,Silent Letter
mose,mouse,Silent Letter
ctah,cheetah,Silent Letter
dolpn,dolphin,Silent Letter
tgr,tiger,Silent Letter
kybord,keyboard,Silent Letter
aple,apple,Silent Letter
iraf,giraffe,Silent Letter
pnun,penguin,Silent Letter
grp,grape,Silent Letter
chrry,cherry,Silent Letter
strawbrr,strawberry,Silent Letter
headphons,headphones,Silent Letter
elphant,elephant,Silent Letter
octops,octopus,Silent Letter
lptop,laptop,Silent Letter
monitr,monitor,Silent Letter
banna,banana,Silent Letter
printr,printer,Silent Letter
orang,orange,Silent Letter
comptr,computer,Silent Letter
mou,mouse,Silent Letter
cheta,cheetah,Silent Letter
dolpi,dolphin,Silent Letter
tige,tiger,Silent Letter
keybrd,keyboard,Silent Letter
app,apple,Silent Letter
giraf,giraffe,Silent Letter
pengin,penguin,Silent Letter
grpe,grape,Silent Letter
cher,cherry,Silent Letter
strawbr,strawberry,Silent Letter
headphn,headphones,Silent Letter
elephnt,elephant,Silent Letter
octop,octopus,Silent Letter
lapto,laptop,Silent Letter
montor,monitor,Silent Letter
banan,banana,Silent Letter
print,printer,Silent Letter
orng,orange,Silent Letter
cmptr,computer,Silent Letter
mos,mouse,Silent Letter
chtah,cheetah,Silent Letter
dolpn,dolphin,Silent Letter
tgr,tiger,Silent Letter
kybrd,keyboard,Silent Letter
apl,apple,Silent Letter
iraff,giraffe,Silent Letter
pnin,penguin,Silent Letter
rpe,grape,Silent Letter
chry,cherry,Silent Letter
strawbry,strawberry,Silent Letter
hedphones,headphones,Silent Letter
elepant,elephant,Silent Letter
octps,octopus,Silent Letter
lptp,laptop,Silent Letter
montr,monitor,Silent Letter
bann,banana,Silent Letter
prnt,printer,Silent Letter
orane,orange,Silent Letter
cmput,computer,Silent Letter
moue,mouse,Silent Letter
cetaha,cheetah,Silent Letter
dolpin,dolphin,Silent Letter
tirg,tiger,Silent Letter
kyboad,keyboard,Silent Letter
aplle,apple,Silent Letter
irafff,giraffe,Silent Letter
pnuin,penguin,Silent Letter
rap,grape,Silent Letter
crry,cherry,Silent Letter
straberry,strawberry,Silent Letter
adphons,headphones,Silent Letter
lephant,elephant,Silent Letter
octpus,octopus,Silent Letter
laptp,laptop,Silent Letter
monitr,monitor,Silent Letter
bana,banana,Silent Letter
printr,printer,Silent Letter
komputer,computer,Phoneme Mismatch
kheetah,cheetah,Phoneme Mismatch
mouze,mouse,Phoneme Mismatch
oktopuz,octopus,Phoneme Mismatch
giraphphe,giraffe,Phoneme Mismatch
headphonez,headphones,Phoneme Mismatch
kherry,cherry,Phoneme Mismatch
bluebrry,blueberry,Phoneme Mismatch
keybaord,keyboard,Phoneme Mismatch
dolfin,dolphin,Phoneme Mismatch
compyuter,computer,Phoneme Mismatch
chetah,cheetah,Phoneme Mismatch
mowze,mouse,Phoneme Mismatch
ocktopus,octopus,Phoneme Mismatch
girrafe,giraffe,Phoneme Mismatch
hedfonz,headphones,Phoneme Mismatch
churry,cherry,Phoneme Mismatch
blooberry,blueberry,Phoneme Mismatch
keeboard,keyboard,Phoneme Mismatch
dawlfin,dolphin,Phoneme Mismatch
kampyooter,computer,Phoneme Mismatch
cheeta,cheetah,Phoneme Mismatch
mooze,mouse,Phoneme Mismatch
oktapus,octopus,Phoneme Mismatch
jiraffe,giraffe,Phoneme Mismatch
headphonz,headphones,Phoneme Mismatch
cherie,cherry,Phoneme Mismatch
bluberri,blueberry,Phoneme Mismatch
keaboard,keyboard,Phoneme Mismatch
dolphen,dolphin,Phoneme Mismatch
kompooter,computer,Phoneme Mismatch
cheetuh,cheetah,Phoneme Mismatch
mowse,mouse,Phoneme Mismatch
octopuz,octopus,Phoneme Mismatch
giraffee,giraffe,Phoneme Mismatch
hedphones,headphones,Phoneme Mismatch
cherrie,cherry,Phoneme Mismatch
bluebery,blueberry,Phoneme Mismatch
keybord,keyboard,Phoneme Mismatch
dolfen,dolphin,Phoneme Mismatch
compewter,computer,Phoneme Mismatch
cheetoh,cheetah,Phoneme Mismatch
mouz,mouse,Phoneme Mismatch
oktopis,octopus,Phoneme Mismatch
giraph,giraffe,Phoneme Mismatch
headfonz,headphones,Phoneme Mismatch
khary,cherry,Phoneme Mismatch
bleuberry,blueberry,Phoneme Mismatch
keebord,keyboard,Phoneme Mismatch
dolphyn,dolphin,Phoneme Mismatch
kompyooter,computer,Phoneme Mismatch
cheetaw,cheetah,Phoneme Mismatch
mowz,mouse,Phoneme Mismatch
octopys,octopus,Phoneme Mismatch
jiraff,giraffe,Phoneme Mismatch
hedfon,headphones,Phoneme Mismatch
churrie,cherry,Phoneme Mismatch
blubbery,blueberry,Phoneme Mismatch
keyboord,keyboard,Phoneme Mismatch
dalfin,dolphin,Phoneme Mismatch
compyutar,computer,Phoneme Mismatch
cheetuhh,cheetah,Phoneme Mismatch
mooz,mouse,Phoneme Mismatch
oktopas,octopus,Phoneme Mismatch
giraphy,giraffe,Phoneme Mismatch
headphnes,headphones,Phoneme Mismatch
cherrry,cherry,Phoneme Mismatch
blueberi,blueberry,Phoneme Mismatch
keybored,keyboard,Phoneme Mismatch
dolfinz,dolphin,Phoneme Mismatch
komputar,computer,Phoneme Mismatch
cheetow,cheetah,Phoneme Mismatch
mowze,mouse,Phoneme Mismatch
octopiz,octopus,Phoneme Mismatch
giraffey,giraffe,Phoneme Mismatch
hedfonez,headphones,Phoneme Mismatch
cheri,cherry,Phoneme Mismatch
bluberryy,blueberry,Phoneme Mismatch
keeyboard,keyboard,Phoneme Mismatch
dolphin,dolphin,Phoneme Mismatch
compyutr,computer,Phoneme Mismatch
cheetahh,cheetah,Phoneme Mismatch
mouzee,mouse,Phoneme Mismatch
oktopuz,octopus,Phoneme Mismatch
giraphie,giraffe,Phoneme Mismatch
headphonzs,headphones,Phoneme Mismatch
cherriey,cherry,Phoneme Mismatch
blueberyy,blueberry,Phoneme Mismatch
keyborad,keyboard,Phoneme Mismatch
dolfinz,dolphin,Phoneme Mismatch
komputor,computer,Phoneme Mismatch
cheetawh,cheetah,Phoneme Mismatch
mowzee,mouse,Phoneme Mismatch
octopuzz,octopus,Phoneme Mismatch
giraffi,giraffe,Phoneme Mismatch
hedphonz,headphones,Phoneme Mismatch
cherriy,cherry,Phoneme Mismatch
bluberry,blueberry,Phoneme Mismatch
keyboarrd,keyboard,Phoneme Mismatch
dolphinz,dolphin,Phoneme Mismatch
friend,friend,Correct
banana,banana,Correct
headphones,headphones,Correct
computer,computer,Correct
orange,orange,Correct
giraffe,giraffe,Correct
mouse,mouse,Correct
tiger,tiger,Correct
cherry,cherry,Correct
laptop,laptop,Correct
penguin,penguin,Correct
strawberry,strawberry,Correct
elephant,elephant,Correct
grape,grape,Correct
cheetah,cheetah,Correct
apple,apple,Correct
blueberry,blueberry,Correct
keyboard,keyboard,Correct
monitor,monitor,Correct
printer,printer,Correct