Correct_Word,Incorrect_Word,Error_Type,Letter_Count,Difficulty_Level
friend,freind,Transpositions,6,3
apple,appel,Transpositions,5,2
knife,nife,Silent Letters,5,2
know,no,Silent Letters,4,2
butter,buter,Omission of Letters,6,3
better,beter,Omission of Letters,6,3
cup,cupp,Addition of Letters,3,1
phone,fone,Letter-Phoneme Correspondence,5,2
elephant,elefant,Letter-Phoneme Correspondence,8,4
school,skool,Letter-Phoneme Correspondence,6,3
talk,tark,Letter-Phoneme Correspondence,4,2
climb,clime,Silent Letters,5,2
thumb,thum,Silent Letters,5,2
class,clas,Omission of Letters,5,2
glass,glaass,Addition of Letters,5,2
table,tble,Omission of Letters,5,2
chair,chari,Transpositions,5,2
ghost,gost,Silent Letters,5,2
write,rite,Silent Letters,5,2
swing,swiing,Addition of Letters,5,2
bed,beed,Addition of Letters,3,1
ship,sip,Letter-Phoneme Correspondence,4,2
judge,juj,Letter-Phoneme Correspondence,5,2
bottle,botle,Omission of Letters,6,3
ladder,lader,Omission of Letters,6,3
light,ligt,Transpositions,5,2
honest,onest,Silent Letters,6,3
magic,majik,Letter-Phoneme Correspondence,5,2
banana,bananna,Addition of Letters,6,3
umbrella,umberlla,Transpositions,8,4
plate,plae,Transpositions,5,2
write,wrte,Omission of Letters,5,2
knight,nite,Silent Letters,6,3
comb,com,Silent Letters,4,2
black,blacck,Addition of Letters,5,2
dog,doog,Addition of Letters,3,1
photo,foto,Letter-Phoneme Correspondence,5,2
giraffe,jiraf,Letter-Phoneme Correspondence,7,3
button,buton,Omission of Letters,6,3
castle,castel,Transpositions,6,3
half,haf,Silent Letters,4,2
answer,anser,Silent Letters,6,3
rough,ruf,Letter-Phoneme Correspondence,5,2
balloon,baloon,Omission of Letters,7,3
scientist,sciantist,Letter-Phoneme Correspondence,9,4
pencil,penicl,Transpositions,6,3
island,iland,Silent Letters,6,3
wrist,rist,Silent Letters,5,2
knee,nee,Silent Letters,4,2
rabbit,rabit,Omission of Letters,6,3
hammer,hamer,Omission of Letters,6,3
pen,penn,Addition of Letters,3,1
tiger,tigerr,Addition of Letters,5,2
queen,kween,Letter-Phoneme Correspondence,5,2
jacket,jaket,Letter-Phoneme Correspondence,6,3
carpet,capret,Transpositions,6,3
cupboard,cubard,Silent Letters,8,4
science,sciense,Letter-Phoneme Correspondence,7,3
planet,plannet,Addition of Letters,6,3
octopus,octupos,Transpositions,7,3
market,makret,Transpositions,6,3
honest,onest,Silent Letters,6,3
write,wite,Silent Letters,5,2
design,desgn,Omission of Letters,6,3
balloon,ballooon,Addition of Letters,7,3
bat,baat,Addition of Letters,3,1
camera,kamra,Letter-Phoneme Correspondence,6,3
chemistry,kemistry,Letter-Phoneme Correspondence,9,4
dinner,dinnre,Transpositions,6,3
plumber,plumer,Silent Letters,7,3
giraffe,girafe,Omission of Letters,7,3
mirror,miror,Omission of Letters,6,3
frog,frrrog,Addition of Letters,4,2
knight,knite,Silent Letters,6,3
nephew,nefew,Letter-Phoneme Correspondence,6,3
planet,palnet,Transpositions,6,3
scene,sene,Silent Letters,5,2
climb,clib,Silent Letters,5,2
basket,baket,Omission of Letters,6,3
summer,summerr,Addition of Letters,6,3
sun,sunn,Addition of Letters,3,1
dolphin,dolfin,Letter-Phoneme Correspondence,7,3
mechanic,mekenic,Letter-Phoneme Correspondence,8,4
packet,pakcet,Transpositions,6,3
wristwatch,ristwatch,Silent Letters,10,4
kitten,kiten,Omission of Letters,6,3
little,litttle,Addition of Letters,6,3
lamb,lam,Silent Letters,4,2
violin,vyolin,Letter-Phoneme Correspondence,6,3
blanket,blnaket,Transpositions,7,3
forest,foreset,Transpositions,6,3
receipt,receit,Silent Letters,7,3
thumb,thum,Silent Letters,5,2
doctor,doactor,Addition of Letters,6,3
train,trian,Transpositions,5,2
jump,jummp,Addition of Letters,4,2
cat,catt,Addition of Letters,3,1
rough,ruf,Letter-Phoneme Correspondence,5,2
niece,neese,Letter-Phoneme Correspondence,5,2
perfume,perfum,Omission of Letters,7,3
pepper,pepr,Omission of Letters,6,3
design,deesign,Addition of Letters,6,3
column,colum,Silent Letters,6,3
knight,knigt,Transpositions,6,3
psychology,sychology,Silent Letters,10,4
laptop,lapotp,Transpositions,6,3
hour,our,Silent Letters,4,2
kneeled,neeld,Silent Letters,7,3
summer,sumer,Omission of Letters,6,3
mirror,mirrror,Addition of Letters,6,3
box,boxx,Addition of Letters,3,1
psychology,psikology,Letter-Phoneme Correspondence,10,4
chef,shef,Letter-Phoneme Correspondence,4,2
artist,arstist,Transpositions,6,3
castle,castl,Silent Letters,6,3
hammer,hamr,Omission of Letters,6,3
bottle,bottlle,Addition of Letters,6,3
doubt,dout,Silent Letters,5,2
wrinkle,wrinkel,Transpositions,7,3
scientist,scientiest,Addition of Letters,9,4
desert,desret,Transpositions,6,3
ballet,balet,Silent Letters,6,3
receipt,receip,Omission of Letters,7,3
signal,signall,Addition of Letters,6,3
hat,hatt,Addition of Letters,3,1
quiz,quizz,Addition of Letters,4,2
laugh,laf,Letter-Phoneme Correspondence,5,2
ocean,oshen,Letter-Phoneme Correspondence,5,2
pilot,pliot,Transpositions,5,2
receipt,reseat,Letter-Phoneme Correspondence,7,3
answer,anserr,Addition of Letters,6,3
honest,honist,Letter-Phoneme Correspondence,6,3
wristband,wrsitband,Transpositions,9,4
whistle,wistle,Silent Letters,7,3
autumn,autmn,Silent Letters,6,3
laptop,laptpo,Transpositions,6,3
subtle,sutle,Silent Letters,6,3
climb,clim,Omission of Letters,5,2
dinner,dinerr,Addition of Letters,6,3
leg,legg,Addition of Letters,3,1
spin,spinn,Addition of Letters,4,2
enough,enuf,Letter-Phoneme Correspondence,6,3
nephew,nefyu,Letter-Phoneme Correspondence,6,3
reward,reawrd,Transpositions,6,3
design,dezine,Letter-Phoneme Correspondence,6,3
climb,cilmb,Transpositions,5,2
align,aling,Transpositions,5,2
debris,debri,Silent Letters,6,3
mortgage,morgage,Silent Letters,8,4
resign,resgin,Transpositions,6,3
velvet,velvett,Addition of Letters,6,3
debt,det,Silent Letters,4,2
answer,asnwer,Transpositions,6,3
scissors,sissors,Omission of Letters,8,4
bed,beed,Addition of Letters,3,1
drum,drrum,Addition of Letters,4,2
choir,kwire,Letter-Phoneme Correspondence,5,2
yacht,yot,Letter-Phoneme Correspondence,5,2
refund,refnud,Transpositions,6,3
answer,ansswer,Addition of Letters,6,3
calm,cam,Silent Letters,4,2
depot,depott,Addition of Letters,5,2
resign,rezine,Letter-Phoneme Correspondence,6,3
climb,klimb,Letter-Phoneme Correspondence,5,2
gourmet,gurmet,Letter-Phoneme Correspondence,7,3
tunnel,tunel,Omission of Letters,6,3
autumn,autum,Silent Letters,6,3
friend,firend,Transpositions,6,3
packet,packett,Addition of Letters,6,3
pen,penn,Addition of Letters,3,1
fork,forrk,Addition of Letters,4,2
chaos,kaos,Letter-Phoneme Correspondence,5,2
genre,jenre,Letter-Phoneme Correspondence,5,2
stable,satble,Transpositions,6,3
subtle,subtel,Transpositions,6,3
aisle,isle,Silent Letters,5,2
ballet,balleet,Addition of Letters,6,3
rhythm,rithm,Silent Letters,6,3
ledger,ledgr,Omission of Letters,6,3
foreign,foren,Silent Letters,7,3
planet,planett,Addition of Letters,6,3
doubt,doutt,Addition of Letters,5,2
sword,sord,Silent Letters,5,2
honest,honset,Transpositions,6,3
match,mtach,Transpositions,5,2
red,reedd,Addition of Letters,3,1
knee,kni,Omission of Letters,4,2
debt,deabt,Transpositions,4,2
science,syence,Letter-Phoneme Correspondence,7,3
knife,knyfe,Letter-Phoneme Correspondence,5,2
hour,haur,Letter-Phoneme Correspondence,4,2
hymn,him,Silent Letters,4,2
receipt,resipt,Letter-Phoneme Correspondence,7,3
salmon,samon,Silent Letters,6,3
resign,resing,Letter-Phoneme Correspondence,6,3
border,boder,Omission of Letters,6,3
whistle,whistel,Transpositions,7,3
sign,sine,Silent Letters,4,2
fabric,farbric,Transpositions,6,3
napkin,nappkin,Addition of Letters,6,3
top,topp,Addition of Letters,3,1
ghost,goast,Letter-Phoneme Correspondence,5,2
judge,juj,Letter-Phoneme Correspondence,5,2
winter,winetr,Transpositions,6,3
ballet,baley,Letter-Phoneme Correspondence,6,3
wrench,rench,Silent Letters,6,3
foreign,forign,Silent Letters,7,3
scissors,scisors,Omission of Letters,8,4
biscuit,biskit,Letter-Phoneme Correspondence,7,3
chaos,chayos,Letter-Phoneme Correspondence,5,2
shelter,sheltter,Addition of Letters,7,3
aisle,aisel,Letter-Phoneme Correspondence,5,2
write,wirte,Transpositions,5,2
receipt,receiot,Transpositions,7,3
psychology,psichology,Letter-Phoneme Correspondence,10,4
wet,wett,Addition of Letters,3,1
climb,clymb,Letter-Phoneme Correspondence,5,2
mechanic,mechinic,Letter-Phoneme Correspondence,8,4
kneeled,kneeldd,Addition of Letters,7,3
doubt,doupt,Addition of Letters,5,2
chaos,khaos,Letter-Phoneme Correspondence,5,2
island,ilandd,Addition of Letters,6,3
wrestle,wrestel,Transpositions,7,3
cupboard,cupbord,Silent Letters,8,4
hourglass,ourglass,Silent Letters,9,4
thunder,thnuder,Transpositions,7,3
wreath,reath,Silent Letters,6,3
guard,gard,Silent Letters,5,2
magic,magik,Letter-Phoneme Correspondence,5,2
rocket,roket,Omission of Letters,6,3
frog,frogg,Addition of Letters,4,2
jar,jarr,Addition of Letters,3,1
mechanic,meckanic,Letter-Phoneme Correspondence,8,4
athlete,athlet,Omission of Letters,7,3
gnome,nome,Silent Letters,5,2
anchor,ancor,Letter-Phoneme Correspondence,6,3
whistle,whistel,Transpositions,7,3
flavour,flaver,Letter-Phoneme Correspondence,7,3
scenario,senario,Silent Letters,8,4
wrinkle,wrinckle,Addition of Letters,7,3
blanket,blnaket,Transpositions,7,3
echo,eko,Letter-Phoneme Correspondence,4,2
debt,deabt,Transpositions,4,2
muscle,muscel,Transpositions,6,3
knob,nob,Silent Letters,4,2
plug,plugg,Addition of Letters,4,2
map,maap,Addition of Letters,3,1
subtle,subtel,Transpositions,6,3
resign,reesign,Addition of Letters,6,3
monarch,monark,Letter-Phoneme Correspondence,7,3
align,aligne,Addition of Letters,5,2
campaign,campain,Omission of Letters,8,4
doubt,dought,Addition of Letters,5,2
sword,sward,Letter-Phoneme Correspondence,5,2
rapport,raport,Silent Letters,7,3
cradle,cardle,Transpositions,6,3
comb,coomb,Addition of Letters,4,2
honest,onestt,Addition of Letters,6,3
echo,ekko,Letter-Phoneme Correspondence,4,2
calm,cahlm,Transpositions,4,2
paint,piannt,Addition of Letters,5,2
toy,toyy,Addition of Letters,3,1
chaos,kaoz,Letter-Phoneme Correspondence,5,2
ghost,ghust,Addition of Letters,5,2
iron,iorn,Transpositions,4,2
hour,howr,Transpositions,4,2
debris,debries,Addition of Letters,6,3
ballet,balette,Addition of Letters,6,3
depot,depott,Addition of Letters,5,2
honest,honnest,Addition of Letters,6,3
lantern,lantren,Transpositions,7,3
solemn,solmn,Silent Letters,6,3
depot,depoh,Letter-Phoneme Correspondence,5,2
pillow,pilow,Omission of Letters,6,3
tool,tooll,Addition of Letters,4,2
zip,zipp,Addition of Letters,3,1
echo,ekhko,Letter-Phoneme Correspondence,4,2
doubt,dowt,Letter-Phoneme Correspondence,5,2
glance,glanec,Transpositions,6,3
wrestle,restle,Silent Letters,7,3
scissors,scissorz,Letter-Phoneme Correspondence,8,4
badge,baj,Letter-Phoneme Correspondence,5,2
sandwich,sandwitch,Addition of Letters,8,4
choir,choyr,Letter-Phoneme Correspondence,5,2
castle,castel,Omission of Letters,6,3
tunnel,tunell,Addition of Letters,6,3
hymn,himn,Silent Letters,4,2
monkey,monky,Omission of Letters,6,3
thunder,thundre,Transpositions,7,3
chalk,chawk,Letter-Phoneme Correspondence,5,2
toy,tooy,Addition of Letters,3,1
plum,plumm,Addition of Letters,4,2
judge,jujje,Addition of Letters,5,2
angel,aengel,Transpositions,5,2
design,desine,Letter-Phoneme Correspondence,6,3
sword,suord,Transpositions,5,2
pneumonia,numonia,Silent Letters,9,4
wrist,wrsit,Transpositions,5,2
debris,debriz,Letter-Phoneme Correspondence,6,3
vehicle,veehicle,Addition of Letters,7,3
market,makret,Transpositions,6,3
aisle,aisel,Transpositions,5,2
bomb,bom,Silent Letters,4,2
kitten,kiten,Omission of Letters,6,3
soup,soop,Letter-Phoneme Correspondence,4,2
fan,fann,Addition of Letters,3,1
lamp,lampp,Addition of Letters,4,2
chalk,chorc,Letter-Phoneme Correspondence,5,2
almond,almon,Omission of Letters,6,3
ballet,ballette,Addition of Letters,6,3
plumber,plummer,Addition of Letters,7,3
wrap,rap,Silent Letters,4,2
anchor,ankhor,Letter-Phoneme Correspondence,6,3
foreigner,forener,Silent Letters,9,4
physics,fiziks,Letter-Phoneme Correspondence,7,3
polar,ploar,Transpositions,5,2
comb,cumb,Letter-Phoneme Correspondence,4,2
thumb,tumb,Silent Letters,5,2
rabbit,rabit,Omission of Letters,6,3
queen,quenn,Addition of Letters,5,2
mug,mugg,Addition of Letters,3,1
chart,charrt,Addition of Letters,5,2
fruit,froot,Letter-Phoneme Correspondence,5,2
thunder,thunred,Transpositions,7,3
ballet,baleyt,Transpositions,6,3
castle,kastle,Letter-Phoneme Correspondence,6,3
whirl,whril,Transpositions,5,2
salmon,salman,Letter-Phoneme Correspondence,6,3
echo,ekho,Letter-Phoneme Correspondence,4,2
reign,rane,Silent Letters,5,2
painter,painetr,Transpositions,7,3
knight,nite,Silent Letters,6,3
glue,gule,Transpositions,4,2
jacket,jaket,Letter-Phoneme Correspondence,6,3
ball,baall,Addition of Letters,4,2
pen,ppen,Addition of Letters,3,1
skirt,skrit,Transpositions,5,2
giraffe,jeraff,Letter-Phoneme Correspondence,7,3
sword,swrod,Transpositions,5,2
cupboard,cupboared,Letter-Phoneme Correspondence,8,4
plumber,plumar,Letter-Phoneme Correspondence,7,3
autumn,ottumn,Addition of Letters,6,3
whistle,wistel,Transpositions,7,3
psychology,psycology,Letter-Phoneme Correspondence,10,4
knowledge,nowledge,Silent Letters,9,4
border,broder,Transpositions,6,3
write,rite,Silent Letters,5,2
folder,floder,Transpositions,6,3
choir,quire,Letter-Phoneme Correspondence,5,2
fox,ffox,Addition of Letters,3,1
desk,deskk,Addition of Letters,4,2
train,tarin,Transpositions,5,2
colonel,kernal,Letter-Phoneme Correspondence,7,3
honest,onist,Omission of Letters,6,3
answer,anser,Omission of Letters,6,3
ballet,bally,Letter-Phoneme Correspondence,6,3
calm,cahlm,Transpositions,4,2
gnaw,naw,Silent Letters,4,2
tongue,tung,Letter-Phoneme Correspondence,6,3
wristwatch,ristwach,Letter-Phoneme Correspondence,10,4
turtle,trutle,Transpositions,6,3
design,dezign,Letter-Phoneme Correspondence,6,3
climb,clmib,Transpositions,5,2
knock,nok,Silent Letters,5,2
dog,doog,Addition of Letters,3,1
desk,deesk,Addition of Letters,4,2
plane,palne,Transpositions,5,2
ballet,balet,Omission of Letters,6,3
receipt,reseet,Addition of Letters,7,3
wrist,risst,Addition of Letters,5,2
herb,hurb,Letter-Phoneme Correspondence,4,2
knife,knif,Omission of Letters,5,2
psychology,sikeology,Letter-Phoneme Correspondence,10,4
often,offen,Letter-Phoneme Correspondence,5,2
gourmet,gormet,Letter-Phoneme Correspondence,7,3
velvet,vevlet,Transpositions,6,3
knee,nee,Silent Letters,4,2
medal,meadl,Transpositions,5,2
choir,koyer,Letter-Phoneme Correspondence,5,2
pot,pott,Addition of Letters,3,1
drum,drumm,Addition of Letters,4,2
forest,forset,Transpositions,6,3
scissors,scizzors,Letter-Phoneme Correspondence,8,4
limb,lim,Omission of Letters,4,2
rhythm,rythm,Omission of Letters,6,3
ballet,baley,Letter-Phoneme Correspondence,6,3
write,wrighte,Addition of Letters,5,2
subtle,subbtle,Addition of Letters,6,3
design,desingh,Addition of Letters,6,3
island,iseland,Letter-Phoneme Correspondence,6,3
handle,hadnle,Transpositions,6,3
knife,nife,Silent Letters,5,2
medal,meadl,Transpositions,5,2
echo,ekkoe,Letter-Phoneme Correspondence,4,2
pin,pinn,Addition of Letters,3,1
leg,legg,Addition of Letters,3,1
jumper,jumpre,Transpositions,6,3
aisle,aisel,Letter-Phoneme Correspondence,5,2
hymn,hym,Omission of Letters,4,2
drawer,drawar,Letter-Phoneme Correspondence,6,3
ghost,ghossst,Addition of Letters,5,2
doubt,dowbt,Addition of Letters,5,2
honest,onnest,Addition of Letters,6,3
foreign,forrign,Addition of Letters,7,3
plumber,plummber,Addition of Letters,7,3
garage,garaje,Letter-Phoneme Correspondence,6,3
wristband,wrristband,Addition of Letters,9,4
flask,flaks,Letter-Phoneme Correspondence,5,2
drawer,darwer,Transpositions,6,3
herb,herbb,Addition of Letters,4,2
rug,ruug,Addition of Letters,3,1
gravel,garvel,Transpositions,6,3
debt,debtt,Addition of Letters,4,2
bough,boff,Letter-Phoneme Correspondence,5,2
gnarl,narl,Silent Letters,5,2
wrench,rench,Silent Letters,6,3
package,pacakge,Transpositions,7,3
thumb,thummb,Addition of Letters,5,2
echo,ecko,Letter-Phoneme Correspondence,4,2
knight,knigt,Transpositions,6,3
parcel,pracel,Transpositions,6,3
climb,klymb,Letter-Phoneme Correspondence,5,2
hymn,hmn,Omission of Letters,4,2
badge,badje,Letter-Phoneme Correspondence,5,2
mug,muug,Addition of Letters,3,1
plug,pllugg,Addition of Letters,4,2
forest,forets,Transpositions,6,3
yacht,yatch,Letter-Phoneme Correspondence,5,2
isle,ilse,Transpositions,4,2
knight,knightt,Addition of Letters,6,3
wrist,wrsit,Transpositions,5,2
pneumonia,numonya,Letter-Phoneme Correspondence,9,4
receipt,reseat,Letter-Phoneme Correspondence,7,3
salmon,salmun,Letter-Phoneme Correspondence,6,3
aisle,aisll,Addition of Letters,5,2
cradle,cardle,Transpositions,6,3
gnash,nash,Silent Letters,5,2
drawer,darwer,Transpositions,6,3
ballet,baleyt,Transpositions,6,3
rug,ruug,Addition of Letters,3,1
bulb,bullb,Addition of Letters,4,2
anchor,anckor,Letter-Phoneme Correspondence,6,3
ledger,ledjer,Letter-Phoneme Correspondence,6,3
ghost,gosth,Addition of Letters,5,2
phone,fon,Letter-Phoneme Correspondence,5,2
whirl,whilr,Transpositions,5,2
niche,nish,Letter-Phoneme Correspondence,5,2
debt,deebt,Addition of Letters,4,2
autumn,autumm,Addition of Letters,6,3
scissors,scissurs,Letter-Phoneme Correspondence,8,4
